object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of random class 1,Probability of random class 2,Radii of the object_0,Radii of the object_1,Radii of the object_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Principal components of the object_4,Principal components of the object_5,Principal components of the object_6,Principal components of the object_7,Principal components of the object_8,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Center of the object_0,Center of the object_1,Center of the object_2
79,0,80,0,random class 2,0.46,0.54,1.8678864,1.0901029,0.8307209,-0.8393014,0.54164493,-0.04683886,-0.5425119,-0.82879347,0.13704844,0.035411853,0.14043559,0.98945636,74.0,31.0,66.0,26.0,38.0,73.0,30.0,33.945946,69.189186,28.162163
80,0,81,0,random class 1,0.61,0.39,3.0209448,1.026355,0.62425834,0.096028745,0.9661901,-0.23928055,0.9948846,-0.085594214,0.053649336,0.031354424,-0.24320842,-0.96946716,74.0,24.0,20.0,27.0,29.0,34.0,30.0,26.135136,26.22973,28.45946
81,0,82,0,random class 2,0.49,0.51,1.4574407,0.90172726,0.65979606,0.24216491,-0.9700903,-0.016761592,0.9659219,0.24267955,-0.090008564,0.09138413,0.0056065265,0.99579996,38.0,116.0,26.0,27.0,120.0,32.0,30.0,117.710526,28.421053,28.394737
82,0,83,0,random class 1,0.51,0.49,2.5216815,1.5029622,0.7062841,-0.34893522,0.93657506,0.03273151,0.93683887,0.34950304,-0.013435484,0.0240231,-0.025976038,0.99937385,113.0,49.0,27.0,27.0,56.0,37.0,30.0,52.415928,31.646017,28.327435
83,0,84,0,random class 1,0.52,0.48,2.689678,1.0937204,0.72970974,0.19063045,0.9717226,-0.13933839,-0.98134935,0.1922216,-0.002074054,0.024768444,0.13713503,0.99024266,88.0,67.0,38.0,27.0,73.0,49.0,30.0,69.670456,44.261364,28.295454
84,0,85,0,random class 1,0.52,0.48,0.875105,0.6693835,0.5837845,-0.84583783,-0.26395088,-0.46356043,-0.47692704,-0.015079489,0.8788135,0.23895387,-0.96441823,0.11313052,16.0,147.0,67.0,27.0,150.0,70.0,30.0,148.1875,67.75,28.3125
85,0,86,0,random class 1,0.53,0.47,2.5306318,2.0086398,0.6450792,-0.47745615,0.87679386,-0.05716734,-0.8771201,-0.47176713,0.08997864,0.051923055,0.093103476,0.9943016,127.0,58.0,76.0,27.0,68.0,87.0,30.0,63.062992,80.826775,28.417322
86,0,87,0,random class 2,0.49,0.51,2.0674472,1.8427744,0.604569,0.5024381,-0.86423784,0.025473043,0.8645003,0.50263053,0.0013516685,-0.013971692,0.021342322,0.9996746,102.0,96.0,80.0,27.0,105.0,89.0,30.0,100.14706,83.539215,28.5
87,0,88,0,random class 1,0.5,0.5,0.8062258,0.52915025,0.4472136,-1.5869854e-16,-0.70710677,0.70710677,1.0,1.4852226e-15,1.7096563e-15,-2.2591205e-15,0.70710677,0.70710677,10.0,0.0,58.0,28.0,2.0,62.0,30.0,0.4,59.5,28.6
88,0,89,0,random class 1,0.6,0.4,3.582076,0.8866553,0.4805465,-0.0074293655,-0.9999607,-0.004828418,-0.9999682,0.007443261,-0.0028663143,0.0029021408,0.00480697,-0.99998426,69.0,80.0,78.0,28.0,84.0,92.0,30.0,81.23189,84.73913,28.637682
